GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jntu_calc_application,ETA_SB.jntu_calc_application,Calculator,0,19,0,0,0,5,0,5,0,5
jntu_calc_application,ETA_SB.jntu_calc_application,CalculatorServlet,82,0,5,0,18,0,7,0,3,0
